ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER;
1;Somalia leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;3;
2;Erytrea leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;3;
3;Burkina Faso leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;3;
4;Tadżykistan leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;2;
5;Chrzest Polski?;1006 r;956 r;996 r;966 r;4;
6;Linux to?;rodzaj pingwina;system operacyjny;plastik;drzewo;2;
7;Jezyk urzedowy w Brazylii to?;hiszpański;francuski;brazylisjki;portugalski;4;
8;Stolica Kanady to?;Ottawa;Toronto;Newfoundland;Vancouver;1;
9;Nepal leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;2;
10;Hymn Polski to?;Miłość w Zakopanem;Bogurodzica;Hejnał Mariacki;Mazurek Dąbrowskiego;4;
