ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER;
1;W którym roku odbyła się bitwa pod Grunwaldem?;1410 r;1510 r;1800 r; 2000 r;1;
2;Która sławna modelka zagrała w filmie 'Nagi Instynkt'?;Claudia Shiffer;Sharon Stone;Monika Belucci;Pamela Anderson;2;
3;Ronaldo to?;piłkarz;siatkarz;nie wiem;aktor;1;
4;Java to?;kawa; język programowania; kot; pies;2;
5;Prezydentem Polski był: ;Jarosław Kaczyński;Donald Tusk;Aleksander Kwaśniewski;Leszek Miller;3;
6;Co zakochani wycinają na pniach drzew?;serce przebite strzałą;dłonie złączone szarfą;mózg z wbitą różą;motyle w brzuchu;1;
7;Grota to potoczne, lecz niefachowe określenie:;tunelu;przejścia podziemnego;korytarza górniczego;jaskini;4;
8;Flaga Turcji posiada: ;księżyc;kilka gwiazd;słońce;żadne z tych;1;
9;Liczba ludnosci w Polsce wynosi około?;30 mln;42 mln;38 mln;33 mln;3;
10;Co w wolnym tłumaczeniu oznacza słowo fraszka? ;gałązka;krótka myśl;ptaszek;wierszyk;4;
