ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER;
1;W którym roku odbyła się bitwa pod Grunwaldem?;1410 r;1510 r;1800 r; 2000 r;1;
2;Która sławna modelka zagrała w filmie 'Nagi Instynkt'?;Claudia Shiffer;Sharon Stone;Monika Belucci;Pamela Anderson;2;
3;Ronaldo to?;piłkarz;siatkarz;nie wiem;aktor;1;
4;Język urzędowy w Peru to?; hiszpański;francuski;brazylisjki;portugalski;1;
5;Język urzędowy w Uragwaju to?;hiszpański;francuski;brazylisjki;portugalski;1;
6;Linux to?;rodzaj pingwina;system operacyjny;plastik;drzewo;2;
7;Jezyk urzedowy w Brazylii to?;hiszpański;francuski;brazylisjki;portugalski;4;
8;Stolica Rosji to?;Moskwa;Kazań;Kaliningrad;Saint Petersburg;1;
9;Przyjaciel człowieka to?;kot;koń;kura;pies;4;
10;Język urzędowy w Kolumbii to?;hiszpański;francuski;brazylisjki;portugalski;1;
