ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER;
1;Język urzędowy w Meksyku to?;hiszpański;francuski;brazylisjki;portugalski;1;
2;Która sławna modelka zagrała w filmie 'Nagi Instynkt'?;Claudia Shiffer;Sharon Stone;Monika Belucci;Pamela Anderson;2;
3;Messi to?;piłkarz;siatkarz;nie wiem;aktor;1;
4;C++ to?;kawa; język programowania; kot; pies;2;
5;Chrzest Polski?;1006 r;956 r;996 r;966 r;4;
6;Windows to?;rodzaj pingwina;system operacyjny;plastik;drzewo;2;
7;Jezyk urzedowy w Maroko to?;hiszpański;francuski;arabski;portugalski;3;
8;Przyjaciel człowieka to?;kot;koń;kura;pies;4;
9;RPA leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;3;
10;Kirgistan leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;2;
11;Andora leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;1;
