ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER;
1;Stolica Portugalii to?;Madryt;Lizbona;Porto;Braga;2;
2;Roger Federer to?;piłkarz;bokser;malarz;tenisista;4;
3;Największe miasto w Polsce to?;Katowice;Warszawa;Kraków;Gdańsk;2;
4;Nissan to producent samochodó majacy siedzibę w?;Japonii;Koreii Południowej;Chinach;Niemczech;1;
5;W którym roku odbyłą się bitwa warszawska, tzw. 'Cud nad Wisłą'?;1925 r;1930 r;1920 r;1922 r;3;
6;Co powstanie z wody, gdy ją zamrozimy?;Ogień;Chmura gazu;Nic;Lód;4;
7;Odwrócona flaga Polski to flaga:;Kanady;USA;Monako;Niemiec;3;
8;Co zakochani wycinają na pniach drzew?;serce przebite strzałą;dłonie złączone szarfą;mózg z wbitą różą;motyle w brzuchu;1;
9;Grota to potoczne, lecz niefachowe określenie:;tunelu;przejścia podziemnego;korytarza górniczego;jaskini;4;
10;Dokończ przysłowie: Jeszcze się taki nie urodził, co by ;kazdemu dogodził;w drogę nie wchodził;na wszystko zaradził;wszystkich pogodził;1;
11;Największa rzeka w Polsce to: ;Odra;Wisła;San;Bug;2;
