ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER;
1;Kongo leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;3;
2;Honduras leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;4;
3;Panama leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;4;
4;Laos leży na kontynencie?;europejskim;azjatyckim;afrykańskim;amerykańskim;2;
5;Hymn USA to?;God save the Queen;Stairway to Heaven;The First Star;The Star-Spangled Banner;4;
6;Co zakochani wycinają na pniach drzew?;serce przebite strzałą;dłonie złączone szarfą;mózg z wbitą różą;motyle w brzuchu;1;
7;Fabian Drzyzga to?;piłkarz;siatkarz;nie wiem;aktor;2;
8;Tchibo to?;kawa; język programowania; kot; pies;2;
9;Dawid Kownacki to?;piłkarz;siatkarz;nie wiem;aktor;1;
10;Paul Pogba to?;piłkarz;siatkarz;nie wiem;aktor;1;
